Pos,MPG,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,2P_3-10,2P_10-16,2P_16-3P,2P%_0-3,2P%_3-10,2P%_10-16,2P%_16-3P,3P%,2P%_asst,3P%_asst,Corner3%_3PA,Corner3%
C,26.66666666666667,13.7,5.8,6.0,10.9,4.2,1.5,1.9,2.7,3.5,122.0,106,0.397,0.08199999999999999,0.002,0.743,0.416,0.513,1.0,0.333,0.67,1.0,0.333,0.0
PF,33.56944444444444,15.7,7.7,3.6,11.3,7.4,1.7,1.9,4.1,3.7,116.0,106,0.301,0.14400000000000002,0.056,0.726,0.445,0.404,0.227,0.14300000000000002,0.715,0.5,0.5710000000000001,0.125
C,33.094339622641506,17.3,5.2,2.8,7.9,3.5,1.0,2.4,2.0,3.5,115.0,112,0.129,0.227,0.245,0.7190000000000001,0.471,0.461,0.433,0.389,0.5670000000000001,0.951,0.185,0.379
SG,12.574468085106385,10.4,2.9,0.7,5.9,7.0,1.3,0.6,4.2,4.5,93.0,113,0.173,0.053,0.03,0.523,0.261,0.214,0.375,0.34600000000000003,0.192,0.913,0.188,0.36
SG,18.894736842105264,7.2,2.9,0.5,5.0,3.4,0.7,0.1,2.1,3.4,114.0,115,0.179,0.104,0.004,0.711,0.444,0.5,0.0,0.404,0.6,0.982,0.255,0.556
C,26.457142857142852,11.7,6.9,5.5,11.6,2.8,1.0,2.4,2.0,4.1,132.0,106,0.211,0.019,0.002,0.746,0.3670000000000001,0.444,0.0,0.0,0.795,0.0,0.833,0.0
PF,21.11111111111111,6.4,3.7,3.1,8.1,2.7,2.3,1.0,2.2,3.5,88.0,108,0.244,0.0,0.07,0.435,0.19,0.0,0.333,0.25,0.438,0.889,0.222,0.375
SF,19.850746268656717,8.6,2.7,2.0,8.0,5.7,1.9,1.3,2.3,3.9,109.0,109,0.263,0.136,0.085,0.6629999999999999,0.506,0.4,0.5,0.282,0.541,1.0,0.518,0.25
PF,30.42857142857143,22.5,15.0,3.3,17.1,8.4,1.5,1.6,5.5,4.6,116.0,97,0.16,0.073,0.048,0.779,0.343,0.433,0.4,0.304,0.438,0.551,0.034,0.5
PF,32.793103448275865,13.9,4.0,1.8,7.4,2.1,1.2,0.7,2.5,4.3,104.0,115,0.105,0.238,0.175,0.53,0.476,0.419,0.38,0.385,0.39,0.943,0.212,0.563
SF,29.94202898550725,7.8,2.3,1.8,6.5,2.5,2.2,1.0,1.8,3.8,114.0,104,0.111,0.025,0.009000000000000001,0.68,0.27,0.35700000000000004,0.2,0.39,0.64,0.955,0.504,0.4
PG,16.03448275862069,4.2,2.0,1.0,4.7,5.0,1.4,0.2,1.9,5.0,111.0,113,0.1,0.1,0.023,0.606,0.318,0.318,0.4,0.391,0.5,0.889,0.29,0.475
SF,28.169811320754718,3.8,2.4,1.1,6.8,2.9,2.2,0.5,1.8,3.6,114.0,112,0.065,0.012,0.015,0.701,0.19,0.0,0.0,0.3720000000000001,0.6920000000000001,0.948,0.377,0.397
SF,24.71875,2.6,1.7,1.3,7.7,3.1,2.1,0.4,1.7,3.9,108.0,111,0.042,0.012,0.018000000000000002,0.677,0.0,0.0,0.0,0.35200000000000004,0.5710000000000001,0.977,0.369,0.333
SF,33.42857142857143,5.0,3.2,0.9,5.9,2.8,2.3,0.5,1.9,3.3,121.0,114,0.08800000000000001,0.013,0.013,0.7140000000000001,0.28600000000000003,0.0,0.0,0.4,0.75,0.912,0.388,0.485
PG,24.91228070175439,8.9,6.2,0.8,3.4,9.0,1.2,0.0,2.9,2.5,114.0,114,0.16699999999999998,0.121,0.078,0.5710000000000001,0.28600000000000003,0.5,0.333,0.348,0.193,0.629,0.129,0.34600000000000003
C,32.526315789473685,21.3,3.4,5.6,11.1,2.8,1.0,2.2,3.1,4.5,111.0,108,0.227,0.188,0.1,0.725,0.411,0.393,0.386,0.231,0.746,1.0,0.154,0.5
SG,17.615384615384613,12.9,3.9,1.1,6.2,3.8,1.7,0.1,2.7,3.8,86.0,114,0.238,0.107,0.061,0.449,0.345,0.231,0.333,0.284,0.47,0.895,0.149,0.3
C,25.69230769230769,21.1,4.5,4.2,9.9,1.5,0.9,1.7,2.6,6.2,102.0,111,0.293,0.06,0.084,0.6809999999999999,0.306,0.2,0.5710000000000001,0.182,0.635,1.0,0.045,0.0
PG,32.142857142857146,6.7,1.7,1.6,7.1,10.0,2.0,0.9,4.4,2.9,103.0,111,0.083,0.049,0.079,0.608,0.246,0.324,0.278,0.375,0.411,0.8240000000000001,0.21,0.349
C,14.161290322580646,9.9,2.6,5.5,11.2,2.3,1.3,4.8,2.3,6.4,111.0,103,0.126,0.031,0.063,0.6809999999999999,0.194,0.444,0.278,0.34600000000000003,0.537,1.0,0.103,0.182
PG,15.517241379310345,13.1,2.4,1.1,4.6,12.0,0.5,0.2,4.1,2.9,109.0,116,0.15,0.101,0.07200000000000001,0.5820000000000001,0.29,0.28600000000000003,0.4,0.376,0.094,0.406,0.094,0.5
PF,34.47222222222222,10.3,5.2,1.5,5.4,3.1,0.8,0.2,1.7,1.8,116.0,116,0.285,0.058,0.025,0.691,0.363,0.304,0.3,0.381,0.525,0.873,0.336,0.35600000000000004
SG,30.42857142857143,15.1,7.3,1.4,6.5,4.1,1.6,0.5,3.5,3.5,95.0,114,0.201,0.065,0.07200000000000001,0.568,0.267,0.277,0.28800000000000003,0.32,0.354,0.937,0.299,0.35600000000000004
SF,33.03448275862069,11.6,3.4,2.0,7.5,5.5,1.6,0.7,2.3,3.1,113.0,111,0.18600000000000005,0.079,0.06,0.616,0.328,0.414,0.568,0.375,0.393,0.7040000000000001,0.122,0.486
PF,16.90909090909091,8.2,4.7,1.6,6.4,1.9,1.2,1.5,1.1,2.7,111.0,113,0.128,0.034,0.013,0.611,0.3,0.125,0.333,0.33,0.667,0.941,0.417,0.419
PF,17.45945945945946,8.0,4.7,1.5,6.4,2.2,1.2,1.4,1.0,2.6,111.0,113,0.136,0.039,0.015,0.644,0.25,0.125,0.333,0.33,0.6609999999999999,0.968,0.404,0.421
SF,22.95454545454545,3.2,1.0,2.5,7.4,6.5,1.7,0.8,2.2,4.1,107.0,112,0.012,0.07400000000000001,0.086,0.611,1.0,0.333,0.0,0.28600000000000003,0.214,0.929,0.388,0.316
C,22.23809523809524,10.8,3.8,3.6,8.4,3.4,0.5,1.2,2.5,7.2,113.0,112,0.171,0.039,0.016,0.638,0.569,0.333,0.16699999999999998,0.35100000000000003,0.7340000000000001,1.0,0.14300000000000002,0.25
SF,24.823529411764714,8.2,4.2,0.8,7.6,2.6,2.1,1.1,2.6,5.6,96.0,112,0.139,0.069,0.067,0.531,0.243,0.297,0.306,0.344,0.491,0.952,0.459,0.313
SF,25.837209302325586,6.6,3.1,0.6,6.8,2.6,1.9,1.3,2.6,5.2,92.0,113,0.104,0.083,0.077,0.464,0.235,0.259,0.4,0.327,0.404,0.946,0.433,0.297
SF,23.08,11.4,6.3,1.2,9.1,2.7,2.4,0.8,2.6,6.3,103.0,109,0.192,0.048,0.053,0.595,0.25,0.4,0.091,0.384,0.5760000000000001,0.964,0.521,0.342
PF,18.524590163934427,7.6,2.7,1.3,9.3,1.8,1.0,1.8,1.9,2.4,96.0,108,0.196,0.038,0.035,0.604,0.226,0.25,0.364,0.348,0.618,0.898,0.333,0.298
SG,36.017543859649116,18.7,10.4,1.2,4.3,7.9,1.6,0.5,4.4,2.9,113.0,117,0.141,0.135,0.115,0.6890000000000001,0.397,0.438,0.387,0.353,0.376,0.635,0.119,0.316
SG,21.98181818181818,10.3,2.6,0.7,5.2,3.0,1.6,0.3,2.3,3.1,105.0,114,0.129,0.096,0.069,0.634,0.261,0.471,0.378,0.388,0.667,0.888,0.185,0.451
SG,18.195121951219512,9.3,2.5,0.6,4.5,3.2,2.1,0.4,2.4,3.3,100.0,112,0.13,0.103,0.09,0.581,0.231,0.452,0.407,0.36,0.644,0.966,0.193,0.419
SG,33.07142857142857,11.8,2.8,0.9,6.2,2.7,0.9,0.2,2.1,2.7,111.0,115,0.129,0.086,0.043,0.672,0.3,0.5,0.3,0.426,0.6890000000000001,0.7959999999999999,0.174,0.5
SG,15.491228070175438,7.4,3.1,0.4,5.0,3.7,0.6,0.1,1.0,2.4,110.0,118,0.048,0.048,0.252,0.667,0.2,0.333,0.38,0.376,0.893,0.8959999999999999,0.219,0.41
SG,21.27906976744186,8.3,2.4,1.7,6.0,4.1,2.8,1.0,3.1,4.3,95.0,112,0.206,0.031,0.009000000000000001,0.607,0.426,0.5710000000000001,0.0,0.231,0.584,1.0,0.4,0.308
PF,17.875,8.1,2.3,2.6,9.4,4.6,0.7,1.5,3.5,6.9,102.0,110,0.261,0.0,0.0,0.68,0.375,0.0,0.0,0.349,0.846,1.0,0.279,0.417
PF,29.31481481481481,4.1,3.6,1.0,6.2,2.7,1.1,1.0,1.7,4.1,120.0,116,0.059,0.034,0.036000000000000004,0.644,0.306,0.429,0.318,0.424,0.754,0.915,0.078,0.568
PG,26.31372549019608,4.8,1.7,2.0,7.4,6.4,1.9,0.9,2.3,5.5,116.0,107,0.147,0.041,0.015,0.591,0.46,0.28600000000000003,0.2,0.388,0.299,0.95,0.311,0.422
C,19.20833333333333,7.5,5.3,4.8,6.8,2.6,1.1,1.2,1.6,4.8,121.0,111,0.448,0.063,0.006999999999999999,0.706,0.344,0.222,1.0,0.0,0.6709999999999999,0.0,1.0,0.0
C,19.41509433962264,13.5,7.4,5.8,9.2,2.4,0.5,2.4,2.3,5.6,116.0,112,0.32,0.065,0.011,0.7020000000000001,0.315,0.278,0.0,0.0,0.8340000000000001,0.0,0.0,0.0
PF,27.930555555555557,8.0,2.0,2.7,8.4,4.9,1.5,1.0,2.4,5.2,119.0,111,0.198,0.031,0.029,0.63,0.465,0.45,0.368,0.419,0.55,0.948,0.125,0.525
PG,26.98360655737705,13.5,5.9,1.2,6.6,9.1,1.6,0.7,4.1,3.6,112.0,104,0.185,0.098,0.07400000000000001,0.7090000000000001,0.354,0.362,0.404,0.344,0.319,0.459,0.126,0.29600000000000004
SG,28.950819672131143,8.9,3.2,0.7,5.0,5.7,1.8,0.4,2.8,3.7,110.0,113,0.128,0.099,0.076,0.677,0.459,0.434,0.552,0.3720000000000001,0.358,0.8540000000000001,0.193,0.365
SF,33.063492063492056,11.2,6.5,0.9,5.1,3.1,0.8,0.2,3.7,2.6,111.0,113,0.207,0.08,0.029,0.698,0.361,0.333,0.259,0.414,0.507,0.857,0.282,0.473
SF,18.939393939393934,6.1,3.2,2.7,5.6,2.8,1.7,0.8,2.2,5.8,116.0,116,0.179,0.038,0.017,0.648,0.476,0.222,0.25,0.35200000000000004,0.5589999999999999,1.0,0.38,0.444
SG,35.885714285714286,16.7,9.6,0.5,5.1,8.6,0.9,0.3,5.0,4.0,115.0,114,0.136,0.213,0.112,0.72,0.463,0.487,0.424,0.354,0.416,0.61,0.09,0.361
C,13.209677419354836,10.5,6.7,6.2,9.9,1.5,1.3,3.5,1.6,6.6,124.0,101,0.1,0.017,0.02,0.621,0.433,0.2,0.333,0.322,0.66,1.0,0.14400000000000002,0.17600000000000002
PG,22.555555555555557,10.1,1.9,1.1,4.6,6.2,2.1,0.5,3.3,4.8,96.0,115,0.159,0.146,0.153,0.657,0.314,0.468,0.388,0.308,0.446,0.727,0.234,0.44
