Pos,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,2P_3-10,2P%_0-3,3P%,2P%_asst,3P%_asst,Corner3%_3PA
C,13.7,5.8,6.0,10.9,4.2,1.5,1.9,2.7,0.397,0.743,0.333,0.67,1.0,0.333
PF,15.7,7.7,3.6,11.3,7.4,1.7,1.9,4.1,0.301,0.726,0.14300000000000002,0.715,0.5,0.5710000000000001
C,17.3,5.2,2.8,7.9,3.5,1.0,2.4,2.0,0.129,0.7190000000000001,0.389,0.5670000000000001,0.951,0.185
SG,10.4,2.9,0.7,5.9,7.0,1.3,0.6,4.2,0.173,0.523,0.34600000000000003,0.192,0.913,0.188
SG,7.2,2.9,0.5,5.0,3.4,0.7,0.1,2.1,0.179,0.711,0.404,0.6,0.982,0.255
C,11.7,6.9,5.5,11.6,2.8,1.0,2.4,2.0,0.211,0.746,0.0,0.795,0.0,0.833
PF,6.4,3.7,3.1,8.1,2.7,2.3,1.0,2.2,0.244,0.435,0.25,0.438,0.889,0.222
SF,8.6,2.7,2.0,8.0,5.7,1.9,1.3,2.3,0.263,0.6629999999999999,0.282,0.541,1.0,0.518
PF,22.5,15.0,3.3,17.1,8.4,1.5,1.6,5.5,0.16,0.779,0.304,0.438,0.551,0.034
PF,13.9,4.0,1.8,7.4,2.1,1.2,0.7,2.5,0.105,0.53,0.385,0.39,0.943,0.212
SF,7.8,2.3,1.8,6.5,2.5,2.2,1.0,1.8,0.111,0.68,0.39,0.64,0.955,0.504
PG,4.2,2.0,1.0,4.7,5.0,1.4,0.2,1.9,0.1,0.606,0.391,0.5,0.889,0.29
SF,3.8,2.4,1.1,6.8,2.9,2.2,0.5,1.8,0.065,0.701,0.3720000000000001,0.6920000000000001,0.948,0.377
SF,2.6,1.7,1.3,7.7,3.1,2.1,0.4,1.7,0.042,0.677,0.35200000000000004,0.5710000000000001,0.977,0.369
SF,5.0,3.2,0.9,5.9,2.8,2.3,0.5,1.9,0.08800000000000001,0.7140000000000001,0.4,0.75,0.912,0.388
PG,8.9,6.2,0.8,3.4,9.0,1.2,0.0,2.9,0.16699999999999998,0.5710000000000001,0.348,0.193,0.629,0.129
C,21.3,3.4,5.6,11.1,2.8,1.0,2.2,3.1,0.227,0.725,0.231,0.746,1.0,0.154
SG,12.9,3.9,1.1,6.2,3.8,1.7,0.1,2.7,0.238,0.449,0.284,0.47,0.895,0.149
C,21.1,4.5,4.2,9.9,1.5,0.9,1.7,2.6,0.293,0.6809999999999999,0.182,0.635,1.0,0.045
PG,6.7,1.7,1.6,7.1,10.0,2.0,0.9,4.4,0.083,0.608,0.375,0.411,0.8240000000000001,0.21
C,9.9,2.6,5.5,11.2,2.3,1.3,4.8,2.3,0.126,0.6809999999999999,0.34600000000000003,0.537,1.0,0.103
PG,13.1,2.4,1.1,4.6,12.0,0.5,0.2,4.1,0.15,0.5820000000000001,0.376,0.094,0.406,0.094
PF,10.3,5.2,1.5,5.4,3.1,0.8,0.2,1.7,0.285,0.691,0.381,0.525,0.873,0.336
SG,15.1,7.3,1.4,6.5,4.1,1.6,0.5,3.5,0.201,0.568,0.32,0.354,0.937,0.299
SF,11.6,3.4,2.0,7.5,5.5,1.6,0.7,2.3,0.18600000000000005,0.616,0.375,0.393,0.7040000000000001,0.122
PF,8.2,4.7,1.6,6.4,1.9,1.2,1.5,1.1,0.128,0.611,0.33,0.667,0.941,0.417
PF,8.0,4.7,1.5,6.4,2.2,1.2,1.4,1.0,0.136,0.644,0.33,0.6609999999999999,0.968,0.404
SF,3.2,1.0,2.5,7.4,6.5,1.7,0.8,2.2,0.012,0.611,0.28600000000000003,0.214,0.929,0.388
C,10.8,3.8,3.6,8.4,3.4,0.5,1.2,2.5,0.171,0.638,0.35100000000000003,0.7340000000000001,1.0,0.14300000000000002
SF,8.2,4.2,0.8,7.6,2.6,2.1,1.1,2.6,0.139,0.531,0.344,0.491,0.952,0.459
SF,6.6,3.1,0.6,6.8,2.6,1.9,1.3,2.6,0.104,0.464,0.327,0.404,0.946,0.433
SF,11.4,6.3,1.2,9.1,2.7,2.4,0.8,2.6,0.192,0.595,0.384,0.5760000000000001,0.964,0.521
PF,7.6,2.7,1.3,9.3,1.8,1.0,1.8,1.9,0.196,0.604,0.348,0.618,0.898,0.333
SG,18.7,10.4,1.2,4.3,7.9,1.6,0.5,4.4,0.141,0.6890000000000001,0.353,0.376,0.635,0.119
